Area,Season,Year,Months,Standard Deviation,Outlier Type
Iceland,Spring,1963,March,2.196,High
Liechtenstein,Winter,1963,February,2.814,High
Liechtenstein,Spring,1963,March,1.959,High
Mongolia,Winter,1963,February,3.021,High
Mongolia,Spring,1963,March,1.962,High
Mongolia,Fall,1963,November,2.235,High
Mongolia,Winter,1963,December,2.926,High
Netherlands,Winter,1963,February,2.75,High
Norway,Spring,1963,March,2.1,High
Norway,Summer,1963,June,1.468,High
Paraguay,Summer,1963,June,1.592,High
Paraguay,Summer,1963,July,2.058,High
Paraguay,Summer,1963,August,1.58,High
Poland,Winter,1963,January,2.587,High
Poland,Winter,1963,February,3.375,High
Poland,Spring,1963,March,2.815,High
Poland,Summer,1963,July,1.336,High
Romania,Winter,1963,February,3.065,High
Romania,Spring,1963,March,2.027,High
Romania,Fall,1963,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1963,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1963,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1963,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1963,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1963,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1963,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1963,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1963,December,4.189,High
Sweden,Winter,1963,January,2.681,High
Sweden,Winter,1963,February,3.178,High
Sweden,Spring,1963,March,2.462,High
Sweden,Summer,1963,June,1.359,High
Sweden,Fall,1963,November,1.927,High
Sweden,Winter,1963,December,2.699,High
Switzerland,Winter,1963,February,2.724,High
Switzerland,Spring,1963,March,1.836,High
Uruguay,Summer,1963,June,1.463,High
Uruguay,Summer,1963,July,1.606,High
Yugoslav SFR,Winter,1963,February,2.753,High
Northern Europe,Winter,1963,February,2.643,High
Northern Europe,Spring,1963,March,1.93,High
Afghanistan,Winter,1964,February,2.597,High
Antarctica,Spring,1964,April,1.868,High
Antarctica,Summer,1964,June,1.929,High
Antarctica,Summer,1964,July,1.801,High
Antarctica,Summer,1964,August,2.216,High
Antarctica,Fall,1964,September,2.058,High
Argentina,Summer,1964,July,1.424,High
Austria,Winter,1964,February,2.924,High
Austria,Spring,1964,March,2.054,High
Belgium-Luxembourg,Winter,1964,February,2.905,High
Belgium-Luxembourg,Spring,1964,March,1.844,High
Belgium-Luxembourg,Summer,1964,July,1.397,High
Bulgaria,Winter,1964,February,2.776,High
Bulgaria,Summer,1964,August,1.343,High
Canada,Spring,1964,March,1.875,High
Czechoslovakia,Winter,1964,February,3.13,High
Czechoslovakia,Spring,1964,March,2.322,High
Denmark,Winter,1964,February,2.55,High
Denmark,Spring,1964,March,2.01,High
Finland,Winter,1964,January,3.335,High
Finland,Winter,1964,February,3.566,High
Finland,Spring,1964,March,2.892,High
Finland,Summer,1964,June,1.583,High
Finland,Summer,1964,July,1.38,High
Finland,Fall,1964,October,1.915,High
Finland,Fall,1964,November,2.28,High
Finland,Winter,1964,December,3.499,High
Germany,Winter,1964,February,2.957,High
Germany,Spring,1964,March,2.037,High
Greenland,Spring,1964,March,2.021,High
Hungary,Winter,1964,February,3.171,High
Hungary,Spring,1964,March,2.223,High
Iceland,Spring,1964,March,2.196,High
Liechtenstein,Winter,1964,February,2.814,High
Liechtenstein,Spring,1964,March,1.959,High
Mongolia,Winter,1964,February,3.021,High
Mongolia,Spring,1964,March,1.962,High
Mongolia,Fall,1964,November,2.235,High
Mongolia,Winter,1964,December,2.926,High
Netherlands,Winter,1964,February,2.75,High
Norway,Spring,1964,March,2.1,High
Norway,Summer,1964,June,1.468,High
Paraguay,Summer,1964,June,1.592,High
Paraguay,Summer,1964,July,2.058,High
Paraguay,Summer,1964,August,1.58,High
Poland,Winter,1964,January,2.587,High
Poland,Winter,1964,February,3.375,High
Poland,Spring,1964,March,2.815,High
Poland,Summer,1964,July,1.336,High
Romania,Winter,1964,February,3.065,High
Romania,Spring,1964,March,2.027,High
Romania,Fall,1964,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1964,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1964,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1964,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1964,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1964,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1964,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1964,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1964,December,4.189,High
Sweden,Winter,1964,January,2.681,High
Sweden,Winter,1964,February,3.178,High
Sweden,Spring,1964,March,2.462,High
Sweden,Summer,1964,June,1.359,High
Sweden,Fall,1964,November,1.927,High
Sweden,Winter,1964,December,2.699,High
Switzerland,Winter,1964,February,2.724,High
Switzerland,Spring,1964,March,1.836,High
Uruguay,Summer,1964,June,1.463,High
Uruguay,Summer,1964,July,1.606,High
Yugoslav SFR,Winter,1964,February,2.753,High
Northern Europe,Winter,1964,February,2.643,High
Northern Europe,Spring,1964,March,1.93,High
Afghanistan,Winter,1965,February,2.597,High
Antarctica,Spring,1965,April,1.868,High
Antarctica,Summer,1965,June,1.929,High
Antarctica,Summer,1965,July,1.801,High
Antarctica,Summer,1965,August,2.216,High
Antarctica,Fall,1965,September,2.058,High
Argentina,Summer,1965,July,1.424,High
Austria,Winter,1965,February,2.924,High
Austria,Spring,1965,March,2.054,High
Belgium-Luxembourg,Winter,1965,February,2.905,High
Belgium-Luxembourg,Spring,1965,March,1.844,High
Belgium-Luxembourg,Summer,1965,July,1.397,High
Bulgaria,Winter,1965,February,2.776,High
Bulgaria,Summer,1965,August,1.343,High
Canada,Spring,1965,March,1.875,High
Czechoslovakia,Winter,1965,February,3.13,High
Czechoslovakia,Spring,1965,March,2.322,High
Denmark,Winter,1965,February,2.55,High
Denmark,Spring,1965,March,2.01,High
Finland,Winter,1965,January,3.335,High
Finland,Winter,1965,February,3.566,High
Finland,Spring,1965,March,2.892,High
Finland,Summer,1965,June,1.583,High
Finland,Summer,1965,July,1.38,High
Finland,Fall,1965,October,1.915,High
Finland,Fall,1965,November,2.28,High
Finland,Winter,1965,December,3.499,High
Germany,Winter,1965,February,2.957,High
Germany,Spring,1965,March,2.037,High
Greenland,Spring,1965,March,2.021,High
Hungary,Winter,1965,February,3.171,High
Hungary,Spring,1965,March,2.223,High
Iceland,Spring,1965,March,2.196,High
Liechtenstein,Winter,1965,February,2.814,High
Liechtenstein,Spring,1965,March,1.959,High
Mongolia,Winter,1965,February,3.021,High
Mongolia,Spring,1965,March,1.962,High
Mongolia,Fall,1965,November,2.235,High
Mongolia,Winter,1965,December,2.926,High
Netherlands,Winter,1965,February,2.75,High
Norway,Spring,1965,March,2.1,High
Norway,Summer,1965,June,1.468,High
Paraguay,Summer,1965,June,1.592,High
Paraguay,Summer,1965,July,2.058,High
Paraguay,Summer,1965,August,1.58,High
Poland,Winter,1965,January,2.587,High
Poland,Winter,1965,February,3.375,High
Poland,Spring,1965,March,2.815,High
Poland,Summer,1965,July,1.336,High
Romania,Winter,1965,February,3.065,High
Romania,Spring,1965,March,2.027,High
Romania,Fall,1965,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1965,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1965,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1965,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1965,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1965,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1965,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1965,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1965,December,4.189,High
Sweden,Winter,1965,January,2.681,High
Sweden,Winter,1965,February,3.178,High
Sweden,Spring,1965,March,2.462,High
Sweden,Summer,1965,June,1.359,High
Sweden,Fall,1965,November,1.927,High
Sweden,Winter,1965,December,2.699,High
Switzerland,Winter,1965,February,2.724,High
Switzerland,Spring,1965,March,1.836,High
Uruguay,Summer,1965,June,1.463,High
Uruguay,Summer,1965,July,1.606,High
Yugoslav SFR,Winter,1965,February,2.753,High
Northern Europe,Winter,1965,February,2.643,High
Northern Europe,Spring,1965,March,1.93,High
Afghanistan,Winter,1966,February,2.597,High
Antarctica,Spring,1966,April,1.868,High
Antarctica,Summer,1966,June,1.929,High
Antarctica,Summer,1966,July,1.801,High
Antarctica,Summer,1966,August,2.216,High
Antarctica,Fall,1966,September,2.058,High
Argentina,Summer,1966,July,1.424,High
Austria,Winter,1966,February,2.924,High
Austria,Spring,1966,March,2.054,High
Belgium-Luxembourg,Winter,1966,February,2.905,High
Belgium-Luxembourg,Spring,1966,March,1.844,High
Belgium-Luxembourg,Summer,1966,July,1.397,High
Bulgaria,Winter,1966,February,2.776,High
Bulgaria,Summer,1966,August,1.343,High
Canada,Spring,1966,March,1.875,High
Czechoslovakia,Winter,1966,February,3.13,High
Czechoslovakia,Spring,1966,March,2.322,High
Denmark,Winter,1966,February,2.55,High
Denmark,Spring,1966,March,2.01,High
Finland,Winter,1966,January,3.335,High
Finland,Winter,1966,February,3.566,High
Finland,Spring,1966,March,2.892,High
Finland,Summer,1966,June,1.583,High
Finland,Summer,1966,July,1.38,High
Finland,Fall,1966,October,1.915,High
Finland,Fall,1966,November,2.28,High
Finland,Winter,1966,December,3.499,High
Germany,Winter,1966,February,2.957,High
Germany,Spring,1966,March,2.037,High
Greenland,Spring,1966,March,2.021,High
Hungary,Winter,1966,February,3.171,High
Hungary,Spring,1966,March,2.223,High
Iceland,Spring,1966,March,2.196,High
Liechtenstein,Winter,1966,February,2.814,High
Liechtenstein,Spring,1966,March,1.959,High
Mongolia,Winter,1966,February,3.021,High
Mongolia,Spring,1966,March,1.962,High
Mongolia,Fall,1966,November,2.235,High
Mongolia,Winter,1966,December,2.926,High
Netherlands,Winter,1966,February,2.75,High
Norway,Spring,1966,March,2.1,High
Norway,Summer,1966,June,1.468,High
Paraguay,Summer,1966,June,1.592,High
Paraguay,Summer,1966,July,2.058,High
Paraguay,Summer,1966,August,1.58,High
Poland,Winter,1966,January,2.587,High
Poland,Winter,1966,February,3.375,High
Poland,Spring,1966,March,2.815,High
Poland,Summer,1966,July,1.336,High
Romania,Winter,1966,February,3.065,High
Romania,Spring,1966,March,2.027,High
Romania,Fall,1966,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1966,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1966,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1966,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1966,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1966,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1966,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1966,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1966,December,4.189,High
Sweden,Winter,1966,January,2.681,High
Sweden,Winter,1966,February,3.178,High
Sweden,Spring,1966,March,2.462,High
Sweden,Summer,1966,June,1.359,High
Sweden,Fall,1966,November,1.927,High
Sweden,Winter,1966,December,2.699,High
Switzerland,Winter,1966,February,2.724,High
Switzerland,Spring,1966,March,1.836,High
Uruguay,Summer,1966,June,1.463,High
Uruguay,Summer,1966,July,1.606,High
Yugoslav SFR,Winter,1966,February,2.753,High
Northern Europe,Winter,1966,February,2.643,High
Northern Europe,Spring,1966,March,1.93,High
Afghanistan,Winter,1967,February,2.597,High
Antarctica,Spring,1967,April,1.868,High
Antarctica,Summer,1967,June,1.929,High
Antarctica,Summer,1967,July,1.801,High
Antarctica,Summer,1967,August,2.216,High
Antarctica,Fall,1967,September,2.058,High
Argentina,Summer,1967,July,1.424,High
Austria,Winter,1967,February,2.924,High
Austria,Spring,1967,March,2.054,High
Belgium-Luxembourg,Winter,1967,February,2.905,High
Belgium-Luxembourg,Spring,1967,March,1.844,High
Belgium-Luxembourg,Summer,1967,July,1.397,High
Bulgaria,Winter,1967,February,2.776,High
Bulgaria,Summer,1967,August,1.343,High
Canada,Spring,1967,March,1.875,High
Czechoslovakia,Winter,1967,February,3.13,High
Czechoslovakia,Spring,1967,March,2.322,High
Denmark,Winter,1967,February,2.55,High
Denmark,Spring,1967,March,2.01,High
Finland,Winter,1967,January,3.335,High
Finland,Winter,1967,February,3.566,High
Finland,Spring,1967,March,2.892,High
Finland,Summer,1967,June,1.583,High
Finland,Summer,1967,July,1.38,High
Finland,Fall,1967,October,1.915,High
Finland,Fall,1967,November,2.28,High
Finland,Winter,1967,December,3.499,High
Germany,Winter,1967,February,2.957,High
Germany,Spring,1967,March,2.037,High
Greenland,Spring,1967,March,2.021,High
Hungary,Winter,1967,February,3.171,High
Hungary,Spring,1967,March,2.223,High
Iceland,Spring,1967,March,2.196,High
Liechtenstein,Winter,1967,February,2.814,High
Liechtenstein,Spring,1967,March,1.959,High
Mongolia,Winter,1967,February,3.021,High
Mongolia,Spring,1967,March,1.962,High
Mongolia,Fall,1967,November,2.235,High
Mongolia,Winter,1967,December,2.926,High
Netherlands,Winter,1967,February,2.75,High
Norway,Spring,1967,March,2.1,High
Norway,Summer,1967,June,1.468,High
Paraguay,Summer,1967,June,1.592,High
Paraguay,Summer,1967,July,2.058,High
Paraguay,Summer,1967,August,1.58,High
Poland,Winter,1967,January,2.587,High
Poland,Winter,1967,February,3.375,High
Poland,Spring,1967,March,2.815,High
Poland,Summer,1967,July,1.336,High
Romania,Winter,1967,February,3.065,High
Romania,Spring,1967,March,2.027,High
Romania,Fall,1967,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1967,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1967,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1967,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1967,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1967,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1967,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1967,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1967,December,4.189,High
Sweden,Winter,1967,January,2.681,High
Sweden,Winter,1967,February,3.178,High
Sweden,Spring,1967,March,2.462,High
Sweden,Summer,1967,June,1.359,High
Sweden,Fall,1967,November,1.927,High
Sweden,Winter,1967,December,2.699,High
Switzerland,Winter,1967,February,2.724,High
Switzerland,Spring,1967,March,1.836,High
Uruguay,Summer,1967,June,1.463,High
Uruguay,Summer,1967,July,1.606,High
Yugoslav SFR,Winter,1967,February,2.753,High
Northern Europe,Winter,1967,February,2.643,High
Northern Europe,Spring,1967,March,1.93,High
Afghanistan,Winter,1968,February,2.597,High
Antarctica,Spring,1968,April,1.868,High
Antarctica,Summer,1968,June,1.929,High
Antarctica,Summer,1968,July,1.801,High
Antarctica,Summer,1968,August,2.216,High
Antarctica,Fall,1968,September,2.058,High
Argentina,Summer,1968,July,1.424,High
Austria,Winter,1968,February,2.924,High
Austria,Spring,1968,March,2.054,High
Belgium-Luxembourg,Winter,1968,February,2.905,High
Belgium-Luxembourg,Spring,1968,March,1.844,High
Belgium-Luxembourg,Summer,1968,July,1.397,High
Bulgaria,Winter,1968,February,2.776,High
Bulgaria,Summer,1968,August,1.343,High
Canada,Spring,1968,March,1.875,High
Czechoslovakia,Winter,1968,February,3.13,High
Czechoslovakia,Spring,1968,March,2.322,High
Denmark,Winter,1968,February,2.55,High
Denmark,Spring,1968,March,2.01,High
Finland,Winter,1968,January,3.335,High
Finland,Winter,1968,February,3.566,High
Finland,Spring,1968,March,2.892,High
Finland,Summer,1968,June,1.583,High
Finland,Summer,1968,July,1.38,High
Finland,Fall,1968,October,1.915,High
Finland,Fall,1968,November,2.28,High
Finland,Winter,1968,December,3.499,High
Germany,Winter,1968,February,2.957,High
Germany,Spring,1968,March,2.037,High
Greenland,Spring,1968,March,2.021,High
Hungary,Winter,1968,February,3.171,High
Hungary,Spring,1968,March,2.223,High
Iceland,Spring,1968,March,2.196,High
Liechtenstein,Winter,1968,February,2.814,High
Liechtenstein,Spring,1968,March,1.959,High
Mongolia,Winter,1968,February,3.021,High
Mongolia,Spring,1968,March,1.962,High
Mongolia,Fall,1968,November,2.235,High
Mongolia,Winter,1968,December,2.926,High
Netherlands,Winter,1968,February,2.75,High
Norway,Spring,1968,March,2.1,High
Norway,Summer,1968,June,1.468,High
Paraguay,Summer,1968,June,1.592,High
Paraguay,Summer,1968,July,2.058,High
Paraguay,Summer,1968,August,1.58,High
Poland,Winter,1968,January,2.587,High
Poland,Winter,1968,February,3.375,High
Poland,Spring,1968,March,2.815,High
Poland,Summer,1968,July,1.336,High
Romania,Winter,1968,February,3.065,High
Romania,Spring,1968,March,2.027,High
Romania,Fall,1968,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1968,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1968,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1968,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1968,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1968,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1968,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1968,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1968,December,4.189,High
Sweden,Winter,1968,January,2.681,High
Sweden,Winter,1968,February,3.178,High
Sweden,Spring,1968,March,2.462,High
Sweden,Summer,1968,June,1.359,High
Sweden,Fall,1968,November,1.927,High
Sweden,Winter,1968,December,2.699,High
Switzerland,Winter,1968,February,2.724,High
Switzerland,Spring,1968,March,1.836,High
Uruguay,Summer,1968,June,1.463,High
Uruguay,Summer,1968,July,1.606,High
Yugoslav SFR,Winter,1968,February,2.753,High
Northern Europe,Winter,1968,February,2.643,High
Northern Europe,Spring,1968,March,1.93,High
Afghanistan,Winter,1969,February,2.597,High
Antarctica,Spring,1969,April,1.868,High
Antarctica,Summer,1969,June,1.929,High
Antarctica,Summer,1969,July,1.801,High
Antarctica,Summer,1969,August,2.216,High
Antarctica,Fall,1969,September,2.058,High
Argentina,Summer,1969,July,1.424,High
Austria,Winter,1969,February,2.924,High
Austria,Spring,1969,March,2.054,High
Belgium-Luxembourg,Winter,1969,February,2.905,High
Belgium-Luxembourg,Spring,1969,March,1.844,High
Belgium-Luxembourg,Summer,1969,July,1.397,High
Bulgaria,Winter,1969,February,2.776,High
Bulgaria,Summer,1969,August,1.343,High
Canada,Spring,1969,March,1.875,High
Czechoslovakia,Winter,1969,February,3.13,High
Czechoslovakia,Spring,1969,March,2.322,High
Denmark,Winter,1969,February,2.55,High
Denmark,Spring,1969,March,2.01,High
Finland,Winter,1969,January,3.335,High
Finland,Winter,1969,February,3.566,High
Finland,Spring,1969,March,2.892,High
Finland,Summer,1969,June,1.583,High
Finland,Summer,1969,July,1.38,High
Finland,Fall,1969,October,1.915,High
Finland,Fall,1969,November,2.28,High
Finland,Winter,1969,December,3.499,High
Germany,Winter,1969,February,2.957,High
Germany,Spring,1969,March,2.037,High
Greenland,Spring,1969,March,2.021,High
Hungary,Winter,1969,February,3.171,High
Hungary,Spring,1969,March,2.223,High
Iceland,Spring,1969,March,2.196,High
Liechtenstein,Winter,1969,February,2.814,High
Liechtenstein,Spring,1969,March,1.959,High
Mongolia,Winter,1969,February,3.021,High
Mongolia,Spring,1969,March,1.962,High
Mongolia,Fall,1969,November,2.235,High
Mongolia,Winter,1969,December,2.926,High
Netherlands,Winter,1969,February,2.75,High
Norway,Spring,1969,March,2.1,High
Norway,Summer,1969,June,1.468,High
Paraguay,Summer,1969,June,1.592,High
Paraguay,Summer,1969,July,2.058,High
Paraguay,Summer,1969,August,1.58,High
Poland,Winter,1969,January,2.587,High
Poland,Winter,1969,February,3.375,High
Poland,Spring,1969,March,2.815,High
Poland,Summer,1969,July,1.336,High
Romania,Winter,1969,February,3.065,High
Romania,Spring,1969,March,2.027,High
Romania,Fall,1969,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1969,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1969,January,4.373,High
