Area,Season,Year,Months,Temperature Change,Outlier Type
Nigeria,Winter,1961,February,-2.261,Low
Norway,Winter,1961,February,3.067,High
Norway,Fall,1961,October,3.803,High
Oman,Spring,1961,April,-2.022,Low
Palestine,Fall,1961,September,-1.678,Low
Paraguay,Summer,1961,August,3.465,High
Poland,Winter,1961,February,4.476,High
Poland,Spring,1961,March,3.827,High
Poland,Winter,1961,December,-2.417,Low
Portugal,Spring,1961,March,3.099,High
Saint Pierre and Miquelon,Winter,1961,February,-4.018,Low
Saint Pierre and Miquelon,Fall,1961,November,2.606,High
San Marino,Spring,1961,April,3.066,High
South Georgia and the South Sandwich Islands,Fall,1961,September,-1.904,Low
Svalbard and Jan Mayen Islands,Winter,1961,February,-2.118,Low
Svalbard and Jan Mayen Islands,Fall,1961,October,3.459,High
Svalbard and Jan Mayen Islands,Fall,1961,November,2.625,High
Svalbard and Jan Mayen Islands,Winter,1961,December,-3.521,Low
Sweden,Winter,1961,February,4.618,High
Sweden,Spring,1961,March,3.599,High
Sweden,Fall,1961,October,4.043,High
Switzerland,Winter,1961,February,3.559,High
Switzerland,Spring,1961,April,3.171,High
Switzerland,Fall,1961,September,3.376,High
Syrian Arab Republic,Fall,1961,September,-1.976,Low
Turkey,Fall,1961,September,-1.96,Low
United Arab Emirates,Spring,1961,April,-1.983,Low
United Kingdom,Winter,1961,December,-2.273,Low
Yugoslav SFR,Spring,1961,April,2.998,High
Northern Europe,Winter,1961,February,3.896,High
Northern Europe,Spring,1961,March,2.8,High
Northern Europe,Fall,1961,October,3.113,High
Western Europe,Winter,1961,February,3.678,High
Western Europe,Spring,1961,April,2.953,High
Western Europe,Fall,1961,September,2.982,High
European Union,Winter,1961,February,3.151,High
Afghanistan,Fall,1962,September,-1.797,Low
Afghanistan,Fall,1962,November,-2.171,Low
Albania,Winter,1962,February,-2.125,Low
Andorra,Spring,1962,March,-1.946,Low
Andorra,Fall,1962,November,-2.025,Low
Andorra,Winter,1962,December,-2.161,Low
Antarctica,Summer,1962,June,3.378,High
Argentina,Summer,1962,July,-2.327,Low
Austria,Spring,1962,March,-3.122,Low
Austria,Summer,1962,June,-1.702,Low
Austria,Winter,1962,December,-4.113,Low
Belgium-Luxembourg,Spring,1962,March,-3.384,Low
Belgium-Luxembourg,Spring,1962,May,-2.136,Low
Belgium-Luxembourg,Summer,1962,July,-1.541,Low
Belgium-Luxembourg,Fall,1962,November,-1.677,Low
Belgium-Luxembourg,Winter,1962,December,-3.452,Low
Bulgaria,Fall,1962,November,2.752,High
Bulgaria,Winter,1962,December,-3.11,Low
Canada,Winter,1962,February,-3.086,Low
Channel Islands,Spring,1962,March,-2.75,Low
Channel Islands,Winter,1962,December,-2.463,Low
Cyprus,Fall,1962,November,3.254,High
Czechoslovakia,Spring,1962,March,-3.121,Low
Czechoslovakia,Summer,1962,June,-1.821,Low
Czechoslovakia,Summer,1962,July,-1.595,Low
Czechoslovakia,Winter,1962,December,-4.134,Low
Denmark,Spring,1962,March,-2.515,Low
Denmark,Summer,1962,July,-1.845,Low
Denmark,Summer,1962,August,-1.861,Low
Denmark,Winter,1962,December,-2.912,Low
Egypt,Spring,1962,March,2.792,High
Egypt,Fall,1962,November,3.18,High
Faroe Islands,Spring,1962,March,-3.305,Low
Finland,Spring,1962,March,-5.391,Low
Finland,Summer,1962,June,-2.212,Low
Finland,Summer,1962,July,-2.028,Low
Finland,Summer,1962,August,-2.101,Low
Finland,Winter,1962,December,-2.759,Low
France,Spring,1962,March,-2.716,Low
France,Winter,1962,December,-2.711,Low
Germany,Spring,1962,March,-3.152,Low
Germany,Spring,1962,May,-2.019,Low
Germany,Summer,1962,July,-1.713,Low
Germany,Winter,1962,December,-3.987,Low
Gibraltar,Fall,1962,November,-1.913,Low
Greenland,Spring,1962,March,4.1,High
Hungary,Spring,1962,March,-3.362,Low
Hungary,Summer,1962,June,-1.742,Low
Hungary,Winter,1962,December,-3.708,Low
Iceland,Spring,1962,March,-2.911,Low
Ireland,Spring,1962,March,-2.243,Low
Isle of Man,Spring,1962,March,-2.532,Low
Israel,Fall,1962,November,3.325,High
Italy,Spring,1962,March,-1.818,Low
Italy,Winter,1962,December,-2.141,Low
Jordan,Spring,1962,March,2.837,High
Jordan,Fall,1962,November,3.048,High
Lebanon,Fall,1962,November,3.02,High
Liechtenstein,Spring,1962,March,-3.207,Low
Liechtenstein,Winter,1962,December,-3.653,Low
Monaco,Spring,1962,March,-2.223,Low
Monaco,Winter,1962,December,-2.132,Low
Mongolia,Fall,1962,November,-2.421,Low
Mongolia,Winter,1962,December,4.366,High
Netherlands,Spring,1962,March,-3.082,Low
Netherlands,Spring,1962,May,-2.069,Low
Netherlands,Summer,1962,July,-1.883,Low
Netherlands,Winter,1962,December,-3.539,Low
Norway,Spring,1962,March,-4.826,Low
Norway,Summer,1962,June,-2.327,Low
Norway,Summer,1962,July,-1.686,Low
Norway,Summer,1962,August,-1.736,Low
Palestine,Fall,1962,November,3.331,High
Paraguay,Summer,1962,July,-5.037,Low
Paraguay,Fall,1962,October,-1.927,Low
Poland,Spring,1962,March,-3.072,Low
Poland,Spring,1962,May,-1.998,Low
Poland,Summer,1962,June,-1.843,Low
Poland,Summer,1962,July,-1.828,Low
Poland,Winter,1962,December,-3.939,Low
Portugal,Fall,1962,November,-1.757,Low
Romania,Spring,1962,March,-1.974,Low
Romania,Winter,1962,December,-3.256,Low
Saint Pierre and Miquelon,Summer,1962,July,-2.047,Low
San Marino,Spring,1962,March,-2.664,Low
San Marino,Winter,1962,December,-2.353,Low
Spain,Fall,1962,November,-1.866,Low
Svalbard and Jan Mayen Islands,Spring,1962,March,-4.876,Low
Svalbard and Jan Mayen Islands,Spring,1962,May,-2.947,Low
Svalbard and Jan Mayen Islands,Fall,1962,November,2.691,High
Svalbard and Jan Mayen Islands,Winter,1962,December,-3.698,Low
Sweden,Spring,1962,March,-4.888,Low
Sweden,Summer,1962,June,-1.952,Low
Sweden,Summer,1962,July,-1.862,Low
Sweden,Summer,1962,August,-1.815,Low
Sweden,Winter,1962,December,-2.251,Low
Switzerland,Spring,1962,March,-3.145,Low
Switzerland,Winter,1962,December,-3.336,Low
Syrian Arab Republic,Fall,1962,November,2.916,High
Turkey,Fall,1962,November,3.256,High
United Kingdom,Spring,1962,March,-2.649,Low
Uruguay,Summer,1962,July,-2.488,Low
Yugoslav SFR,Spring,1962,March,-2.405,Low
Yugoslav SFR,Winter,1962,December,-3.426,Low
Northern Europe,Spring,1962,March,-4.341,Low
Northern Europe,Summer,1962,June,-1.709,Low
Northern Europe,Summer,1962,July,-1.552,Low
Northern Europe,Summer,1962,August,-1.613,Low
Western Europe,Spring,1962,March,-2.937,Low
Western Europe,Winter,1962,December,-3.306,Low
European Union,Spring,1962,March,-2.615,Low
European Union,Winter,1962,December,-2.54,Low
Afghanistan,Winter,1963,February,3.919,High
Algeria,Spring,1963,May,-2.133,Low
Andorra,Winter,1963,January,-2.595,Low
Andorra,Winter,1963,February,-3.659,Low
Andorra,Summer,1963,August,-1.858,Low
Antarctica,Spring,1963,April,-2.956,Low
Antarctica,Summer,1963,August,4.004,High
Antarctica,Fall,1963,September,3.659,High
Antarctica,Fall,1963,November,-1.7,Low
Argentina,Fall,1963,November,-1.803,Low
Austria,Winter,1963,January,-5.062,Low
Austria,Winter,1963,February,-5.299,Low
Austria,Fall,1963,November,3.401,High
Austria,Winter,1963,December,-3.846,Low
Bahrain,Winter,1963,February,3.65,High
Bahrain,Spring,1963,May,-1.922,Low
Belgium-Luxembourg,Winter,1963,January,-6.705,Low
Belgium-Luxembourg,Winter,1963,February,-5.835,Low
Belgium-Luxembourg,Fall,1963,November,3.043,High
Belgium-Luxembourg,Winter,1963,December,-4.031,Low
Bulgaria,Winter,1963,January,-4.48,Low
Cambodia,Winter,1963,January,-2.063,Low
Channel Islands,Winter,1963,January,-5.824,Low
Channel Islands,Winter,1963,February,-4.411,Low
Channel Islands,Winter,1963,December,-2.765,Low
"China, Taiwan Province of",Winter,1963,January,-3.351,Low
Czechoslovakia,Winter,1963,January,-6.052,Low
Czechoslovakia,Winter,1963,February,-5.618,Low
Czechoslovakia,Spring,1963,March,-2.285,Low
Czechoslovakia,Fall,1963,November,3.489,High
Czechoslovakia,Winter,1963,December,-4.267,Low
Democratic People's Republic of Korea,Winter,1963,January,-3.935,Low
Denmark,Winter,1963,January,-5.773,Low
Denmark,Winter,1963,February,-4.427,Low
Denmark,Spring,1963,March,-1.996,Low
Denmark,Winter,1963,December,-2.549,Low
Finland,Winter,1963,January,-2.17,Low
Finland,Winter,1963,February,-2.941,Low
Finland,Spring,1963,March,-4.757,Low
Finland,Spring,1963,May,4.154,High
Finland,Fall,1963,September,2.641,High
France,Winter,1963,January,-4.597,Low
France,Winter,1963,February,-4.475,Low
France,Winter,1963,December,-2.6,Low
French Southern and Antarctic Territories,Summer,1963,August,-2.447,Low
French Southern and Antarctic Territories,Fall,1963,September,-1.964,Low
Germany,Winter,1963,January,-6.675,Low
Germany,Winter,1963,February,-5.986,Low
Germany,Fall,1963,November,3.16,High
Germany,Winter,1963,December,-3.908,Low
Holy See,Fall,1963,November,2.587,High
Hungary,Winter,1963,January,-5.477,Low
Hungary,Winter,1963,February,-4.843,Low
Hungary,Spring,1963,March,-2.194,Low
Hungary,Fall,1963,November,3.914,High
Hungary,Winter,1963,December,-4.463,Low
Iceland,Spring,1963,March,2.965,High
Iceland,Fall,1963,November,-2.374,Low
Iran (Islamic Republic of),Winter,1963,January,3.351,High
Iran (Islamic Republic of),Winter,1963,February,3.204,High
Iran (Islamic Republic of),Spring,1963,May,-1.84,Low
Iraq,Winter,1963,January,3.381,High
Iraq,Spring,1963,May,-3.126,Low
Ireland,Winter,1963,January,-4.423,Low
Ireland,Winter,1963,February,-2.791,Low
Isle of Man,Winter,1963,January,-4.197,Low
Isle of Man,Winter,1963,February,-3.353,Low
Italy,Winter,1963,January,-2.506,Low
Italy,Winter,1963,February,-2.557,Low
Italy,Fall,1963,November,2.639,High
Kuwait,Winter,1963,February,3.251,High
Kuwait,Spring,1963,May,-2.81,Low
Lao People's Democratic Republic,Winter,1963,January,-2.633,Low
Lesotho,Fall,1963,September,2.738,High
Liechtenstein,Winter,1963,January,-4.882,Low
Liechtenstein,Winter,1963,February,-4.861,Low
Liechtenstein,Fall,1963,November,3.021,High
Liechtenstein,Winter,1963,December,-2.424,Low
Monaco,Winter,1963,January,-2.977,Low
Monaco,Winter,1963,February,-3.32,Low
Mongolia,Winter,1963,February,3.079,High
Mongolia,Spring,1963,March,4.666,High
Mongolia,Spring,1963,April,-2.138,Low
Netherlands,Winter,1963,January,-7.121,Low
Netherlands,Winter,1963,February,-5.8,Low
Netherlands,Fall,1963,November,2.693,High
Netherlands,Winter,1963,December,-3.927,Low
Niger,Winter,1963,February,3.387,High
Norway,Winter,1963,February,-2.54,Low
Norway,Spring,1963,March,-1.984,Low
Norway,Spring,1963,May,3.13,High
Oman,Spring,1963,May,-1.897,Low
Poland,Winter,1963,January,-7.424,Low
Poland,Winter,1963,February,-5.718,Low
Poland,Spring,1963,March,-3.232,Low
Poland,Fall,1963,November,3.093,High
Poland,Winter,1963,December,-4.195,Low
Qatar,Winter,1963,February,3.081,High
Qatar,Spring,1963,May,-2.389,Low
Republic of Korea,Winter,1963,January,-4.087,Low
Romania,Winter,1963,January,-6.143,Low
Romania,Spring,1963,March,-2.377,Low
Romania,Fall,1963,November,3.306,High
Romania,Winter,1963,December,-3.103,Low
San Marino,Winter,1963,January,-3.155,Low
San Marino,Winter,1963,February,-3.559,Low
San Marino,Fall,1963,November,3.449,High
South Georgia and the South Sandwich Islands,Fall,1963,October,-2.829,Low
Svalbard and Jan Mayen Islands,Winter,1963,January,-5.552,Low
Svalbard and Jan Mayen Islands,Winter,1963,February,-8.483,Low
Svalbard and Jan Mayen Islands,Spring,1963,March,-3.056,Low
Svalbard and Jan Mayen Islands,Spring,1963,April,-1.972,Low
Svalbard and Jan Mayen Islands,Fall,1963,November,-4.76,Low
Svalbard and Jan Mayen Islands,Winter,1963,December,-3.975,Low
Sweden,Winter,1963,January,-2.872,Low
Sweden,Winter,1963,February,-3.176,Low
Sweden,Spring,1963,March,-2.684,Low
Switzerland,Winter,1963,January,-4.858,Low
Switzerland,Winter,1963,February,-4.821,Low
Switzerland,Fall,1963,November,2.801,High
Switzerland,Winter,1963,December,-2.5,Low
Syrian Arab Republic,Winter,1963,January,3.019,High
Syrian Arab Republic,Spring,1963,May,-2.331,Low
Thailand,Winter,1963,January,-2.417,Low
Tunisia,Spring,1963,May,-1.834,Low
United Arab Emirates,Spring,1963,May,-2.252,Low
United Kingdom,Winter,1963,January,-4.397,Low
United Kingdom,Winter,1963,February,-3.601,Low
Western Sahara,Fall,1963,September,-1.673,Low
Yugoslav SFR,Winter,1963,January,-4.23,Low
Yugoslav SFR,Winter,1963,February,-2.795,Low
Yugoslav SFR,Fall,1963,November,3.507,High
Northern Europe,Winter,1963,January,-2.68,Low
Northern Europe,Winter,1963,February,-2.813,Low
Northern Europe,Spring,1963,March,-1.979,Low
Western Europe,Winter,1963,January,-5.471,Low
Western Europe,Winter,1963,February,-5.129,Low
Western Europe,Fall,1963,November,2.822,High
Western Europe,Winter,1963,December,-3.206,Low
European Union,Winter,1963,January,-3.811,Low
European Union,Winter,1963,February,-3.416,Low
Afghanistan,Winter,1964,January,-5.232,Low
Afghanistan,Fall,1964,October,-2.839,Low
Afghanistan,Winter,1964,December,-3.636,Low
Albania,Winter,1964,January,-2.319,Low
Andorra,Fall,1964,October,-1.847,Low
Antarctica,Spring,1964,April,-3.232,Low
Antarctica,Spring,1964,May,-3.206,Low
Antarctica,Summer,1964,June,3.082,High
Antarctica,Summer,1964,July,2.519,High
Antarctica,Fall,1964,September,-2.754,Low
Argentina,Summer,1964,June,-1.791,Low
Austria,Winter,1964,January,-3.158,Low
Austria,Spring,1964,March,-2.143,Low
Bahrain,Winter,1964,January,-3.593,Low
Bahrain,Fall,1964,October,-2.279,Low
Belgium-Luxembourg,Spring,1964,March,-2.138,Low
Belgium-Luxembourg,Fall,1964,October,-1.944,Low
Botswana,Summer,1964,June,-1.84,Low
Botswana,Summer,1964,July,-2.692,Low
Bulgaria,Winter,1964,January,-2.889,Low
Canada,Spring,1964,March,-4.054,Low
Canada,Winter,1964,December,-2.445,Low
China,Winter,1964,February,-2.788,Low
"China, mainland",Winter,1964,February,-2.795,Low
Cyprus,Winter,1964,January,-3.006,Low
Czechoslovakia,Winter,1964,January,-3.432,Low
Czechoslovakia,Spring,1964,March,-3.149,Low
Democratic People's Republic of Korea,Winter,1964,February,-2.982,Low
Denmark,Spring,1964,March,-2.003,Low
Eswatini,Summer,1964,July,-1.562,Low
Finland,Winter,1964,January,5.233,High
Finland,Fall,1964,October,2.741,High
France,Fall,1964,October,-1.79,Low
French Southern and Antarctic Territories,Summer,1964,July,-2.53,Low
Germany,Spring,1964,March,-2.623,Low
Germany,Fall,1964,October,-1.734,Low
Greece,Winter,1964,January,-2.176,Low
Greenland,Winter,1964,February,3.898,High
Hungary,Winter,1964,January,-5.303,Low
Hungary,Spring,1964,March,-2.466,Low
Hungary,Summer,1964,June,2.606,High
Iceland,Winter,1964,January,3.353,High
Iceland,Spring,1964,March,4.299,High
Iran (Islamic Republic of),Winter,1964,January,-5.988,Low
Iran (Islamic Republic of),Fall,1964,October,-2.104,Low
Iran (Islamic Republic of),Winter,1964,December,-3.487,Low
Iraq,Winter,1964,January,-5.123,Low
Israel,Winter,1964,January,-2.074,Low
Israel,Spring,1964,May,-1.829,Low
Jordan,Winter,1964,January,-2.584,Low
Kuwait,Winter,1964,January,-5.11,Low
Kuwait,Fall,1964,October,-2.574,Low
Kuwait,Winter,1964,December,-2.109,Low
Lebanon,Winter,1964,January,-3.115,Low
Libya,Fall,1964,September,-2.419,Low
Liechtenstein,Fall,1964,October,-1.678,Low
Mongolia,Winter,1964,February,-7.309,Low
Mongolia,Fall,1964,October,-2.232,Low
Netherlands,Spring,1964,March,-2.262,Low
Netherlands,Fall,1964,October,-2.107,Low
Norway,Winter,1964,January,3.765,High
Norway,Summer,1964,June,-1.557,Low
Oman,Winter,1964,January,-4.13,Low
Oman,Winter,1964,December,-2.309,Low
Pakistan,Winter,1964,January,-2.719,Low
Pakistan,Winter,1964,December,-2.051,Low
Palestine,Winter,1964,January,-2.047,Low
Palestine,Spring,1964,May,-1.822,Low
Paraguay,Summer,1964,June,-1.74,Low
Paraguay,Summer,1964,July,-1.852,Low
Poland,Spring,1964,March,-4.554,Low
Poland,Summer,1964,June,2.588,High
Qatar,Winter,1964,January,-3.12,Low
Qatar,Fall,1964,October,-1.855,Low
Romania,Winter,1964,January,-3.927,Low
South Georgia and the South Sandwich Islands,Spring,1964,May,-3.22,Low
Spain,Spring,1964,May,2.9,High
Svalbard and Jan Mayen Islands,Spring,1964,March,3.962,High
Svalbard and Jan Mayen Islands,Winter,1964,December,3.723,High
Sweden,Winter,1964,January,4.063,High
Syrian Arab Republic,Winter,1964,January,-4.019,Low
Turkey,Winter,1964,January,-4.267,Low
United Arab Emirates,Winter,1964,January,-3.207,Low
Uruguay,Summer,1964,June,-2.448,Low
Uruguay,Summer,1964,July,-1.615,Low
Western Sahara,Spring,1964,May,4.362,High
Yugoslav SFR,Winter,1964,January,-3.532,Low
Zambia,Summer,1964,July,-1.584,Low
Zimbabwe,Summer,1964,July,-1.596,Low
Northern America,Spring,1964,March,-2.683,Low
Eastern Asia,Winter,1964,February,-3.33,Low
Southern Asia,Winter,1964,January,-2.586,Low
Western Asia,Winter,1964,January,-2.336,Low
Northern Europe,Winter,1964,January,3.445,High
Western Europe,Fall,1964,October,-1.736,Low
Afghanistan,Spring,1965,April,-1.816,Low
Albania,Winter,1965,February,-4.319,Low
Andorra,Winter,1965,February,-3.045,Low
Andorra,Fall,1965,September,-2.315,Low
Antarctica,Summer,1965,June,2.824,High
Antarctica,Summer,1965,July,-2.59,Low
Antarctica,Fall,1965,September,-2.656,Low
Argentina,Summer,1965,June,3.153,High
Austria,Winter,1965,February,-3.706,Low
Belgium-Luxembourg,Winter,1965,February,-2.084,Low
Belgium-Luxembourg,Summer,1965,July,-1.727,Low
Belgium-Luxembourg,Fall,1965,November,-1.935,Low
Botswana,Fall,1965,October,-2.102,Low
Bulgaria,Winter,1965,February,-4.244,Low
Bulgaria,Spring,1965,April,-1.967,Low
Bulgaria,Summer,1965,August,-1.621,Low
Canada,Winter,1965,February,-2.701,Low
Canada,Fall,1965,September,-1.875,Low
Channel Islands,Fall,1965,September,-1.861,Low
Cyprus,Fall,1965,October,-2.245,Low
Czechoslovakia,Winter,1965,February,-3.773,Low
Czechoslovakia,Summer,1965,August,-1.674,Low
Czechoslovakia,Fall,1965,November,-2.819,Low
Democratic People's Republic of Korea,Spring,1965,April,-1.837,Low
Denmark,Summer,1965,July,-2.116,Low
Denmark,Fall,1965,November,-3.52,Low
Eswatini,Fall,1965,October,-1.702,Low
Faroe Islands,Fall,1965,November,-1.881,Low
Finland,Spring,1965,May,-2.512,Low
Finland,Summer,1965,July,-2.08,Low
Finland,Fall,1965,November,-3.884,Low
France,Winter,1965,February,-2.743,Low
France,Fall,1965,September,-1.988,Low
Germany,Winter,1965,February,-2.157,Low
Germany,Summer,1965,July,-1.568,Low
Germany,Fall,1965,November,-2.541,Low
Gibraltar,Fall,1965,September,-1.717,Low
Greece,Winter,1965,February,-2.423,Low
Greenland,Winter,1965,February,5.144,High
Greenland,Fall,1965,November,2.644,High
Holy See,Winter,1965,February,-3.582,Low
Hungary,Winter,1965,February,-4.166,Low
Hungary,Summer,1965,August,-1.812,Low
Hungary,Fall,1965,November,-2.249,Low
Iceland,Winter,1965,February,3.239,High
Iceland,Spring,1965,March,-2.028,Low
Iraq,Spring,1965,April,-1.947,Low
Ireland,Fall,1965,November,-1.805,Low
Isle of Man,Summer,1965,July,-1.64,Low
Isle of Man,Fall,1965,November,-2.022,Low
Italy,Winter,1965,February,-3.047,Low
Japan,Spring,1965,April,-2.017,Low
Jordan,Fall,1965,October,-1.89,Low
Kuwait,Spring,1965,April,-1.877,Low
Lebanon,Fall,1965,October,-2.11,Low
Lesotho,Summer,1965,June,-1.927,Low
Liechtenstein,Winter,1965,February,-4.012,Low
Malta,Winter,1965,February,-2.772,Low
Mauritania,Winter,1965,January,-2.362,Low
Monaco,Fall,1965,September,-1.886,Low
Morocco,Fall,1965,September,-1.69,Low
Netherlands,Summer,1965,July,-1.731,Low
Netherlands,Fall,1965,November,-2.837,Low
Norway,Summer,1965,July,-1.746,Low
Norway,Fall,1965,November,-2.897,Low
Norway,Winter,1965,December,-4.339,Low
Oman,Spring,1965,April,-2.321,Low
Pakistan,Spring,1965,April,-3.065,Low
Paraguay,Spring,1965,March,-2.252,Low
Paraguay,Summer,1965,June,3.032,High
Poland,Winter,1965,February,-3.276,Low
Poland,Spring,1965,May,-2.384,Low
Poland,Fall,1965,November,-4.142,Low
Portugal,Summer,1965,July,-1.726,Low
Portugal,Fall,1965,September,-2.009,Low
Romania,Winter,1965,February,-4.452,Low
Romania,Spring,1965,April,-2.376,Low
Romania,Summer,1965,August,-1.758,Low
Romania,Fall,1965,November,-1.745,Low
Saint Pierre and Miquelon,Fall,1965,November,-1.783,Low
San Marino,Winter,1965,February,-3.016,Low
Senegal,Winter,1965,January,-2.049,Low
South Africa,Summer,1965,June,-1.591,Low
Spain,Winter,1965,February,-2.061,Low
Spain,Fall,1965,September,-2.09,Low
Svalbard and Jan Mayen Islands,Spring,1965,March,-4.728,Low
Svalbard and Jan Mayen Islands,Spring,1965,April,2.832,High
Sweden,Spring,1965,May,-1.84,Low
Sweden,Summer,1965,July,-1.947,Low
Sweden,Fall,1965,November,-3.543,Low
Sweden,Winter,1965,December,-4.333,Low
Switzerland,Winter,1965,February,-3.497,Low
Switzerland,Fall,1965,September,-1.814,Low
Syrian Arab Republic,Fall,1965,October,-2.791,Low
Tunisia,Winter,1965,February,-2.145,Low
Turkey,Fall,1965,October,-2.787,Low
United Kingdom,Summer,1965,July,-1.711,Low
United Kingdom,Fall,1965,November,-1.983,Low
Uruguay,Spring,1965,March,-1.855,Low
Uruguay,Summer,1965,June,3.253,High
Western Sahara,Summer,1965,July,-1.687,Low
Western Sahara,Fall,1965,September,-1.786,Low
Western Sahara,Fall,1965,October,-1.749,Low
Yugoslav SFR,Winter,1965,February,-4.698,Low
Zimbabwe,Fall,1965,October,-1.934,Low
Northern Europe,Summer,1965,July,-1.753,Low
Northern Europe,Fall,1965,November,-2.981,Low
Northern Europe,Winter,1965,December,-2.791,Low
Southern Europe,Winter,1965,February,-2.853,Low
Western Europe,Winter,1965,February,-2.571,Low
European Union,Fall,1965,November,-1.742,Low
Afghanistan,Winter,1966,January,3.629,High
Afghanistan,Winter,1966,February,3.397,High
Afghanistan,Fall,1966,November,-2.574,Low
Albania,Fall,1966,October,3.118,High
Andorra,Winter,1966,February,3.399,High
Andorra,Summer,1966,July,-1.571,Low
Andorra,Fall,1966,November,-2.028,Low
Antarctica,Spring,1966,May,-2.139,Low
Antarctica,Summer,1966,June,-2.133,Low
Antarctica,Summer,1966,August,-1.782,Low
Austria,Winter,1966,January,-2.16,Low
Austria,Winter,1966,February,5.161,High
Austria,Fall,1966,October,3.393,High
Austria,Fall,1966,November,-1.71,Low
Belgium-Luxembourg,Winter,1966,February,4.32,High
Belgium-Luxembourg,Fall,1966,November,-1.878,Low
Bulgaria,Winter,1966,February,4.94,High
Bulgaria,Fall,1966,October,3.908,High
Canada,Winter,1966,January,-2.678,Low
Canada,Fall,1966,November,-2.687,Low
Channel Islands,Winter,1966,February,3.041,High
"China, Taiwan Province of",Fall,1966,September,-1.836,Low
Cyprus,Fall,1966,November,2.727,High
Czechoslovakia,Winter,1966,January,-2.135,Low
Czechoslovakia,Winter,1966,February,4.943,High
Czechoslovakia,Fall,1966,October,3.58,High
Democratic People's Republic of Korea,Winter,1966,December,-2.312,Low
Denmark,Winter,1966,January,-2.398,Low
Denmark,Spring,1966,April,-2.029,Low
Egypt,Fall,1966,November,2.775,High
Falkland Islands (Malvinas),Winter,1966,February,-2.517,Low
Finland,Winter,1966,January,-6.955,Low
Finland,Winter,1966,February,-8.147,Low
Finland,Spring,1966,March,-3.062,Low
Finland,Spring,1966,April,-2.466,Low
Finland,Fall,1966,September,-1.886,Low
France,Winter,1966,February,3.737,High
France,Fall,1966,November,-1.838,Low
Germany,Winter,1966,January,-2.056,Low
Germany,Winter,1966,February,3.363,High
Germany,Fall,1966,November,-1.796,Low
Gibraltar,Fall,1966,November,-2.396,Low
Greece,Fall,1966,October,3.057,High
Greenland,Winter,1966,January,-2.487,Low
Greenland,Spring,1966,March,-2.38,Low
Hungary,Winter,1966,January,-2.305,Low
Hungary,Winter,1966,February,5.267,High
Hungary,Fall,1966,October,4.194,High
Iran (Islamic Republic of),Winter,1966,January,4.327,High
Iraq,Winter,1966,January,3.379,High
Iraq,Fall,1966,November,2.528,High
Israel,Fall,1966,November,3.1,High
Jordan,Fall,1966,November,2.849,High
Kuwait,Winter,1966,January,2.958,High
Lebanon,Fall,1966,November,2.895,High
Liechtenstein,Winter,1966,January,-2.271,Low
Liechtenstein,Winter,1966,February,4.624,High
Liechtenstein,Fall,1966,October,2.816,High
Liechtenstein,Fall,1966,November,-2.005,Low
Monaco,Fall,1966,November,-2.021,Low
Mongolia,Winter,1966,February,3.63,High
