Area,Year,Standard Deviation
South America,1961,0.495
South America,1961,0.39
South America,1961,0.334
South America,1961,0.335
South America,1961,0.315
South America,1961,0.272
Central Asia,1961,
Central Asia,1961,
Central Asia,1961,
Central Asia,1961,
Central Asia,1961,
Central Asia,1961,
Central Asia,1961,
Central Asia,1961,
Central Asia,1961,
Central Asia,1961,
Central Asia,1961,
Central Asia,1961,
Eastern Asia,1961,1.045
Eastern Asia,1961,1.725
Eastern Asia,1961,1.077
Eastern Asia,1961,0.683
Eastern Asia,1961,0.467
Eastern Asia,1961,0.366
Eastern Asia,1961,0.303
Eastern Asia,1961,0.42
Eastern Asia,1961,0.482
Eastern Asia,1961,0.524
Eastern Asia,1961,1.088
Eastern Asia,1961,1.24
Southern Asia,1961,0.962
Southern Asia,1961,1.265
Southern Asia,1961,0.867
Southern Asia,1961,0.796
Southern Asia,1961,0.556
Southern Asia,1961,0.323
Southern Asia,1961,0.247
Southern Asia,1961,0.244
Southern Asia,1961,0.243
Southern Asia,1961,0.524
Southern Asia,1961,0.642
Southern Asia,1961,0.705
South-Eastern Asia,1961,0.567
South-Eastern Asia,1961,0.456
South-Eastern Asia,1961,0.381
South-Eastern Asia,1961,0.349
South-Eastern Asia,1961,0.25
South-Eastern Asia,1961,0.22
South-Eastern Asia,1961,0.2
South-Eastern Asia,1961,0.162
South-Eastern Asia,1961,0.143
South-Eastern Asia,1961,0.178
South-Eastern Asia,1961,0.368
South-Eastern Asia,1961,0.465
Western Asia,1961,1.179
Western Asia,1961,1.261
Western Asia,1961,0.935
Western Asia,1961,0.759
Western Asia,1961,0.572
Western Asia,1961,0.539
Western Asia,1961,0.474
Western Asia,1961,0.568
Western Asia,1961,0.585
Western Asia,1961,0.653
Western Asia,1961,0.934
Western Asia,1961,0.997
Eastern Europe,1961,1.94
Eastern Europe,1961,1.869
Eastern Europe,1961,1.375
Eastern Europe,1961,0.866
Eastern Europe,1961,0.642
Eastern Europe,1961,0.638
Eastern Europe,1961,0.539
Eastern Europe,1961,0.453
Eastern Europe,1961,0.576
Eastern Europe,1961,0.86
Eastern Europe,1961,0.88
Eastern Europe,1961,1.055
Northern Europe,1961,2.461
Northern Europe,1961,2.643
Northern Europe,1961,1.93
Northern Europe,1961,0.923
Northern Europe,1961,0.868
Northern Europe,1961,0.979
Northern Europe,1961,0.914
Northern Europe,1961,0.731
Northern Europe,1961,0.864
Northern Europe,1961,1.259
Northern Europe,1961,1.449
Northern Europe,1961,2.186
Southern Europe,1961,0.843
Southern Europe,1961,1.294
Southern Europe,1961,1.0
Southern Europe,1961,0.861
Southern Europe,1961,0.719
Southern Europe,1961,0.695
Southern Europe,1961,0.453
Southern Europe,1961,0.729
Southern Europe,1961,0.889
Southern Europe,1961,0.94
Southern Europe,1961,0.862
Southern Europe,1961,0.883
Western Europe,1961,2.053
Western Europe,1961,2.145
Western Europe,1961,1.577
Western Europe,1961,1.194
Western Europe,1961,0.873
Western Europe,1961,1.019
Western Europe,1961,1.099
Western Europe,1961,0.908
Western Europe,1961,1.174
Western Europe,1961,1.45
Western Europe,1961,1.098
Western Europe,1961,1.828
Australia and New Zealand,1961,0.654
Australia and New Zealand,1961,0.511
Australia and New Zealand,1961,0.514
Australia and New Zealand,1961,0.467
Australia and New Zealand,1961,0.691
Australia and New Zealand,1961,0.601
Australia and New Zealand,1961,0.76
Australia and New Zealand,1961,0.608
Australia and New Zealand,1961,0.752
Australia and New Zealand,1961,0.833
Australia and New Zealand,1961,0.631
Australia and New Zealand,1961,0.708
Antarctica,1962,1.24
Antarctica,1962,1.084
Antarctica,1962,1.156
Antarctica,1962,1.868
Antarctica,1962,1.704
Antarctica,1962,1.929
Antarctica,1962,1.801
Antarctica,1962,2.216
Antarctica,1962,2.058
Antarctica,1962,1.344
Antarctica,1962,1.124
Antarctica,1962,1.161
South Africa,1962,0.637
South Africa,1962,0.583
South Africa,1962,0.625
South Africa,1962,0.64
South Africa,1962,0.483
South Africa,1962,0.788
South Africa,1962,0.656
South Africa,1962,0.65
South Africa,1962,0.742
South Africa,1962,0.762
South Africa,1962,0.657
South Africa,1962,0.701
Africa,1962,0.488
Africa,1962,0.483
Africa,1962,0.484
Africa,1962,0.316
Africa,1962,0.341
Africa,1962,0.292
Africa,1962,0.313
Africa,1962,0.303
Africa,1962,0.304
Africa,1962,0.304
Africa,1962,0.314
Africa,1962,0.353
Eastern Africa,1962,0.345
Eastern Africa,1962,0.338
Eastern Africa,1962,0.363
Eastern Africa,1962,0.399
Eastern Africa,1962,0.451
Eastern Africa,1962,0.369
Eastern Africa,1962,0.353
Eastern Africa,1962,0.349
Eastern Africa,1962,0.346
Eastern Africa,1962,0.371
Eastern Africa,1962,0.304
Eastern Africa,1962,0.378
Middle Africa,1962,0.418
Middle Africa,1962,0.506
Middle Africa,1962,0.355
Middle Africa,1962,0.317
Middle Africa,1962,0.291
Middle Africa,1962,0.26
Middle Africa,1962,0.327
Middle Africa,1962,0.295
Middle Africa,1962,0.33
Middle Africa,1962,0.27
Middle Africa,1962,0.301
Middle Africa,1962,0.401
Northern Africa,1962,0.767
Northern Africa,1962,0.804
Northern Africa,1962,0.79
Northern Africa,1962,0.395
Northern Africa,1962,0.506
Northern Africa,1962,0.308
Northern Africa,1962,0.419
Northern Africa,1962,0.312
Northern Africa,1962,0.368
Northern Africa,1962,0.45
Northern Africa,1962,0.624
Northern Africa,1962,0.642
Southern Africa,1962,0.706
Southern Africa,1962,0.624
Southern Africa,1962,0.753
Southern Africa,1962,0.617
Southern Africa,1962,0.409
Southern Africa,1962,0.852
Southern Africa,1962,0.572
Southern Africa,1962,0.61
Southern Africa,1962,0.621
Southern Africa,1962,0.685
Southern Africa,1962,0.585
Southern Africa,1962,0.58
Western Africa,1962,0.915
Western Africa,1962,0.781
Western Africa,1962,0.701
Western Africa,1962,0.498
Western Africa,1962,0.425
Western Africa,1962,0.44
Western Africa,1962,0.446
Western Africa,1962,0.51
Western Africa,1962,0.478
Western Africa,1962,0.424
Western Africa,1962,0.437
Western Africa,1962,0.57
Northern America,1962,0.948
Northern America,1962,1.621
Northern America,1962,1.087
Northern America,1962,0.825
Northern America,1962,0.519
Northern America,1962,0.429
Northern America,1962,0.366
Northern America,1962,0.38
Northern America,1962,0.602
Northern America,1962,0.936
Northern America,1962,0.627
Northern America,1962,1.326
Central America,1962,0.595
Central America,1962,0.52
Central America,1962,0.643
Central America,1962,0.461
Central America,1962,0.325
Central America,1962,0.403
Central America,1962,0.488
Central America,1962,0.385
Central America,1962,0.403
Central America,1962,0.469
Central America,1962,0.566
Central America,1962,0.513
South America,1962,0.263
South America,1962,0.326
South America,1962,0.414
South America,1962,0.418
South America,1962,0.479
South America,1962,0.564
South America,1962,0.495
South America,1962,0.39
South America,1962,0.334
South America,1962,0.335
South America,1962,0.315
South America,1962,0.272
Central Asia,1962,
Central Asia,1962,
Central Asia,1962,
Central Asia,1962,
Central Asia,1962,
Central Asia,1962,
Central Asia,1962,
Central Asia,1962,
Central Asia,1962,
Central Asia,1962,
Central Asia,1962,
Central Asia,1962,
Eastern Asia,1962,1.045
Eastern Asia,1962,1.725
Eastern Asia,1962,1.077
Eastern Asia,1962,0.683
Eastern Asia,1962,0.467
Eastern Asia,1962,0.366
Eastern Asia,1962,0.303
Eastern Asia,1962,0.42
Eastern Asia,1962,0.482
Eastern Asia,1962,0.524
Eastern Asia,1962,1.088
Eastern Asia,1962,1.24
Southern Asia,1962,0.962
Southern Asia,1962,1.265
Southern Asia,1962,0.867
Southern Asia,1962,0.796
Southern Asia,1962,0.556
Southern Asia,1962,0.323
Southern Asia,1962,0.247
Southern Asia,1962,0.244
Southern Asia,1962,0.243
Southern Asia,1962,0.524
Southern Asia,1962,0.642
Southern Asia,1962,0.705
South-Eastern Asia,1962,0.567
South-Eastern Asia,1962,0.456
South-Eastern Asia,1962,0.381
South-Eastern Asia,1962,0.349
South-Eastern Asia,1962,0.25
South-Eastern Asia,1962,0.22
South-Eastern Asia,1962,0.2
South-Eastern Asia,1962,0.162
South-Eastern Asia,1962,0.143
South-Eastern Asia,1962,0.178
South-Eastern Asia,1962,0.368
South-Eastern Asia,1962,0.465
Western Asia,1962,1.179
Western Asia,1962,1.261
Western Asia,1962,0.935
Western Asia,1962,0.759
Western Asia,1962,0.572
Western Asia,1962,0.539
Western Asia,1962,0.474
Western Asia,1962,0.568
Western Asia,1962,0.585
Western Asia,1962,0.653
Western Asia,1962,0.934
Western Asia,1962,0.997
Eastern Europe,1962,1.94
Eastern Europe,1962,1.869
Eastern Europe,1962,1.375
Eastern Europe,1962,0.866
Eastern Europe,1962,0.642
Eastern Europe,1962,0.638
Eastern Europe,1962,0.539
Eastern Europe,1962,0.453
Eastern Europe,1962,0.576
Eastern Europe,1962,0.86
Eastern Europe,1962,0.88
Eastern Europe,1962,1.055
Northern Europe,1962,2.461
Northern Europe,1962,2.643
Northern Europe,1962,1.93
Northern Europe,1962,0.923
Northern Europe,1962,0.868
Northern Europe,1962,0.979
Northern Europe,1962,0.914
Northern Europe,1962,0.731
Northern Europe,1962,0.864
Northern Europe,1962,1.259
Northern Europe,1962,1.449
Northern Europe,1962,2.186
Southern Europe,1962,0.843
Southern Europe,1962,1.294
Southern Europe,1962,1.0
Southern Europe,1962,0.861
Southern Europe,1962,0.719
Southern Europe,1962,0.695
Southern Europe,1962,0.453
Southern Europe,1962,0.729
Southern Europe,1962,0.889
Southern Europe,1962,0.94
Southern Europe,1962,0.862
Southern Europe,1962,0.883
Western Europe,1962,2.053
Western Europe,1962,2.145
Western Europe,1962,1.577
Western Europe,1962,1.194
Western Europe,1962,0.873
Western Europe,1962,1.019
Western Europe,1962,1.099
Western Europe,1962,0.908
Western Europe,1962,1.174
Western Europe,1962,1.45
Western Europe,1962,1.098
Western Europe,1962,1.828
Australia and New Zealand,1962,0.654
Australia and New Zealand,1962,0.511
Australia and New Zealand,1962,0.514
Australia and New Zealand,1962,0.467
Australia and New Zealand,1962,0.691
Australia and New Zealand,1962,0.601
Australia and New Zealand,1962,0.76
Australia and New Zealand,1962,0.608
Australia and New Zealand,1962,0.752
Australia and New Zealand,1962,0.833
Australia and New Zealand,1962,0.631
Australia and New Zealand,1962,0.708
Antarctica,1963,1.24
Antarctica,1963,1.084
Antarctica,1963,1.156
Antarctica,1963,1.868
Antarctica,1963,1.704
Antarctica,1963,1.929
Antarctica,1963,1.801
Antarctica,1963,2.216
Antarctica,1963,2.058
Antarctica,1963,1.344
Antarctica,1963,1.124
Antarctica,1963,1.161
South Africa,1963,0.637
South Africa,1963,0.583
South Africa,1963,0.625
South Africa,1963,0.64
South Africa,1963,0.483
South Africa,1963,0.788
South Africa,1963,0.656
South Africa,1963,0.65
South Africa,1963,0.742
South Africa,1963,0.762
South Africa,1963,0.657
South Africa,1963,0.701
Africa,1963,0.488
Africa,1963,0.483
Africa,1963,0.484
Africa,1963,0.316
Africa,1963,0.341
Africa,1963,0.292
Africa,1963,0.313
Africa,1963,0.303
Africa,1963,0.304
Africa,1963,0.304
Africa,1963,0.314
Africa,1963,0.353
Eastern Africa,1963,0.345
Eastern Africa,1963,0.338
Eastern Africa,1963,0.363
Eastern Africa,1963,0.399
Eastern Africa,1963,0.451
Eastern Africa,1963,0.369
Eastern Africa,1963,0.353
Eastern Africa,1963,0.349
Eastern Africa,1963,0.346
Eastern Africa,1963,0.371
Eastern Africa,1963,0.304
Eastern Africa,1963,0.378
Middle Africa,1963,0.418
Middle Africa,1963,0.506
Middle Africa,1963,0.355
Middle Africa,1963,0.317
Middle Africa,1963,0.291
Middle Africa,1963,0.26
Middle Africa,1963,0.327
Middle Africa,1963,0.295
Middle Africa,1963,0.33
Middle Africa,1963,0.27
Middle Africa,1963,0.301
Middle Africa,1963,0.401
Northern Africa,1963,0.767
Northern Africa,1963,0.804
Northern Africa,1963,0.79
Northern Africa,1963,0.395
Northern Africa,1963,0.506
Northern Africa,1963,0.308
Northern Africa,1963,0.419
Northern Africa,1963,0.312
Northern Africa,1963,0.368
Northern Africa,1963,0.45
Northern Africa,1963,0.624
Northern Africa,1963,0.642
Southern Africa,1963,0.706
Southern Africa,1963,0.624
Southern Africa,1963,0.753
Southern Africa,1963,0.617
Southern Africa,1963,0.409
Southern Africa,1963,0.852
Southern Africa,1963,0.572
Southern Africa,1963,0.61
Southern Africa,1963,0.621
Southern Africa,1963,0.685
Southern Africa,1963,0.585
Southern Africa,1963,0.58
Western Africa,1963,0.915
Western Africa,1963,0.781
Western Africa,1963,0.701
Western Africa,1963,0.498
Western Africa,1963,0.425
Western Africa,1963,0.44
Western Africa,1963,0.446
Western Africa,1963,0.51
Western Africa,1963,0.478
Western Africa,1963,0.424
Western Africa,1963,0.437
Western Africa,1963,0.57
Northern America,1963,0.948
Northern America,1963,1.621
Northern America,1963,1.087
Northern America,1963,0.825
Northern America,1963,0.519
Northern America,1963,0.429
Northern America,1963,0.366
Northern America,1963,0.38
Northern America,1963,0.602
Northern America,1963,0.936
Northern America,1963,0.627
Northern America,1963,1.326
Central America,1963,0.595
Central America,1963,0.52
Central America,1963,0.643
Central America,1963,0.461
Central America,1963,0.325
Central America,1963,0.403
Central America,1963,0.488
Central America,1963,0.385
Central America,1963,0.403
Central America,1963,0.469
Central America,1963,0.566
Central America,1963,0.513
South America,1963,0.263
South America,1963,0.326
South America,1963,0.414
South America,1963,0.418
South America,1963,0.479
South America,1963,0.564
South America,1963,0.495
South America,1963,0.39
South America,1963,0.334
South America,1963,0.335
South America,1963,0.315
South America,1963,0.272
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Eastern Asia,1963,1.045
Eastern Asia,1963,1.725
Eastern Asia,1963,1.077
Eastern Asia,1963,0.683
Eastern Asia,1963,0.467
Eastern Asia,1963,0.366
Eastern Asia,1963,0.303
Eastern Asia,1963,0.42
Eastern Asia,1963,0.482
Eastern Asia,1963,0.524
Eastern Asia,1963,1.088
Eastern Asia,1963,1.24
Southern Asia,1963,0.962
Southern Asia,1963,1.265
Southern Asia,1963,0.867
Southern Asia,1963,0.796
Southern Asia,1963,0.556
Southern Asia,1963,0.323
Southern Asia,1963,0.247
Southern Asia,1963,0.244
Southern Asia,1963,0.243
Southern Asia,1963,0.524
Southern Asia,1963,0.642
Southern Asia,1963,0.705
South-Eastern Asia,1963,0.567
South-Eastern Asia,1963,0.456
South-Eastern Asia,1963,0.381
South-Eastern Asia,1963,0.349
South-Eastern Asia,1963,0.25
South-Eastern Asia,1963,0.22
South-Eastern Asia,1963,0.2
South-Eastern Asia,1963,0.162
South-Eastern Asia,1963,0.143
South-Eastern Asia,1963,0.178
South-Eastern Asia,1963,0.368
South-Eastern Asia,1963,0.465
Western Asia,1963,1.179
Western Asia,1963,1.261
Western Asia,1963,0.935
Western Asia,1963,0.759
Western Asia,1963,0.572
Western Asia,1963,0.539
Western Asia,1963,0.474
Western Asia,1963,0.568
Western Asia,1963,0.585
Western Asia,1963,0.653
Western Asia,1963,0.934
Western Asia,1963,0.997
Eastern Europe,1963,1.94
Eastern Europe,1963,1.869
Eastern Europe,1963,1.375
Eastern Europe,1963,0.866
Eastern Europe,1963,0.642
Eastern Europe,1963,0.638
Eastern Europe,1963,0.539
Eastern Europe,1963,0.453
Eastern Europe,1963,0.576
Eastern Europe,1963,0.86
Eastern Europe,1963,0.88
Eastern Europe,1963,1.055
Northern Europe,1963,2.461
Northern Europe,1963,2.643
Northern Europe,1963,1.93
Northern Europe,1963,0.923
Northern Europe,1963,0.868
Northern Europe,1963,0.979
Northern Europe,1963,0.914
Northern Europe,1963,0.731
Northern Europe,1963,0.864
Northern Europe,1963,1.259
Northern Europe,1963,1.449
Northern Europe,1963,2.186
Southern Europe,1963,0.843
Southern Europe,1963,1.294
Southern Europe,1963,1.0
Southern Europe,1963,0.861
Southern Europe,1963,0.719
Southern Europe,1963,0.695
Southern Europe,1963,0.453
Southern Europe,1963,0.729
Southern Europe,1963,0.889
Southern Europe,1963,0.94
Southern Europe,1963,0.862
Southern Europe,1963,0.883
Western Europe,1963,2.053
Western Europe,1963,2.145
Western Europe,1963,1.577
Western Europe,1963,1.194
Western Europe,1963,0.873
Western Europe,1963,1.019
Western Europe,1963,1.099
Western Europe,1963,0.908
Western Europe,1963,1.174
Western Europe,1963,1.45
Western Europe,1963,1.098
Western Europe,1963,1.828
Australia and New Zealand,1963,0.654
Australia and New Zealand,1963,0.511
Australia and New Zealand,1963,0.514
Australia and New Zealand,1963,0.467
Australia and New Zealand,1963,0.691
Australia and New Zealand,1963,0.601
Australia and New Zealand,1963,0.76
Australia and New Zealand,1963,0.608
Australia and New Zealand,1963,0.752
Australia and New Zealand,1963,0.833
Australia and New Zealand,1963,0.631
Australia and New Zealand,1963,0.708
Antarctica,1964,1.24
Antarctica,1964,1.084
Antarctica,1964,1.156
Antarctica,1964,1.868
Antarctica,1964,1.704
Antarctica,1964,1.929
Antarctica,1964,1.801
Antarctica,1964,2.216
Antarctica,1964,2.058
Antarctica,1964,1.344
Antarctica,1964,1.124
Antarctica,1964,1.161
South Africa,1964,0.637
South Africa,1964,0.583
South Africa,1964,0.625
South Africa,1964,0.64
South Africa,1964,0.483
South Africa,1964,0.788
South Africa,1964,0.656
South Africa,1964,0.65
South Africa,1964,0.742
South Africa,1964,0.762
South Africa,1964,0.657
South Africa,1964,0.701
Africa,1964,0.488
Africa,1964,0.483
Africa,1964,0.484
Africa,1964,0.316
Africa,1964,0.341
Africa,1964,0.292
Africa,1964,0.313
Africa,1964,0.303
Africa,1964,0.304
Africa,1964,0.304
Africa,1964,0.314
Africa,1964,0.353
Eastern Africa,1964,0.345
Eastern Africa,1964,0.338
Eastern Africa,1964,0.363
Eastern Africa,1964,0.399
Eastern Africa,1964,0.451
Eastern Africa,1964,0.369
Eastern Africa,1964,0.353
Eastern Africa,1964,0.349
Eastern Africa,1964,0.346
Eastern Africa,1964,0.371
Eastern Africa,1964,0.304
Eastern Africa,1964,0.378
Middle Africa,1964,0.418
Middle Africa,1964,0.506
Middle Africa,1964,0.355
Middle Africa,1964,0.317
Middle Africa,1964,0.291
Middle Africa,1964,0.26
Middle Africa,1964,0.327
Middle Africa,1964,0.295
Middle Africa,1964,0.33
Middle Africa,1964,0.27
Middle Africa,1964,0.301
Middle Africa,1964,0.401
Northern Africa,1964,0.767
Northern Africa,1964,0.804
Northern Africa,1964,0.79
Northern Africa,1964,0.395
Northern Africa,1964,0.506
Northern Africa,1964,0.308
Northern Africa,1964,0.419
Northern Africa,1964,0.312
Northern Africa,1964,0.368
Northern Africa,1964,0.45
Northern Africa,1964,0.624
Northern Africa,1964,0.642
Southern Africa,1964,0.706
Southern Africa,1964,0.624
Southern Africa,1964,0.753
Southern Africa,1964,0.617
Southern Africa,1964,0.409
Southern Africa,1964,0.852
Southern Africa,1964,0.572
Southern Africa,1964,0.61
Southern Africa,1964,0.621
Southern Africa,1964,0.685
Southern Africa,1964,0.585
Southern Africa,1964,0.58
Western Africa,1964,0.915
Western Africa,1964,0.781
Western Africa,1964,0.701
Western Africa,1964,0.498
Western Africa,1964,0.425
Western Africa,1964,0.44
Western Africa,1964,0.446
Western Africa,1964,0.51
Western Africa,1964,0.478
Western Africa,1964,0.424
Western Africa,1964,0.437
Western Africa,1964,0.57
Northern America,1964,0.948
Northern America,1964,1.621
Northern America,1964,1.087
Northern America,1964,0.825
Northern America,1964,0.519
Northern America,1964,0.429
Northern America,1964,0.366
Northern America,1964,0.38
Northern America,1964,0.602
Northern America,1964,0.936
Northern America,1964,0.627
Northern America,1964,1.326
Central America,1964,0.595
Central America,1964,0.52
Central America,1964,0.643
Central America,1964,0.461
Central America,1964,0.325
Central America,1964,0.403
Central America,1964,0.488
Central America,1964,0.385
Central America,1964,0.403
Central America,1964,0.469
Central America,1964,0.566
Central America,1964,0.513
South America,1964,0.263
South America,1964,0.326
South America,1964,0.414
South America,1964,0.418
South America,1964,0.479
South America,1964,0.564
South America,1964,0.495
South America,1964,0.39
South America,1964,0.334
South America,1964,0.335
South America,1964,0.315
South America,1964,0.272
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Eastern Asia,1964,1.045
Eastern Asia,1964,1.725
Eastern Asia,1964,1.077
Eastern Asia,1964,0.683
Eastern Asia,1964,0.467
Eastern Asia,1964,0.366
Eastern Asia,1964,0.303
Eastern Asia,1964,0.42
Eastern Asia,1964,0.482
Eastern Asia,1964,0.524
Eastern Asia,1964,1.088
Eastern Asia,1964,1.24
Southern Asia,1964,0.962
Southern Asia,1964,1.265
Southern Asia,1964,0.867
Southern Asia,1964,0.796
Southern Asia,1964,0.556
Southern Asia,1964,0.323
Southern Asia,1964,0.247
Southern Asia,1964,0.244
Southern Asia,1964,0.243
Southern Asia,1964,0.524
Southern Asia,1964,0.642
Southern Asia,1964,0.705
South-Eastern Asia,1964,0.567
South-Eastern Asia,1964,0.456
South-Eastern Asia,1964,0.381
South-Eastern Asia,1964,0.349
South-Eastern Asia,1964,0.25
South-Eastern Asia,1964,0.22
South-Eastern Asia,1964,0.2
South-Eastern Asia,1964,0.162
South-Eastern Asia,1964,0.143
South-Eastern Asia,1964,0.178
South-Eastern Asia,1964,0.368
South-Eastern Asia,1964,0.465
Western Asia,1964,1.179
Western Asia,1964,1.261
Western Asia,1964,0.935
Western Asia,1964,0.759
Western Asia,1964,0.572
Western Asia,1964,0.539
Western Asia,1964,0.474
Western Asia,1964,0.568
Western Asia,1964,0.585
Western Asia,1964,0.653
Western Asia,1964,0.934
Western Asia,1964,0.997
Eastern Europe,1964,1.94
Eastern Europe,1964,1.869
Eastern Europe,1964,1.375
Eastern Europe,1964,0.866
Eastern Europe,1964,0.642
Eastern Europe,1964,0.638
Eastern Europe,1964,0.539
Eastern Europe,1964,0.453
Eastern Europe,1964,0.576
Eastern Europe,1964,0.86
Eastern Europe,1964,0.88
Eastern Europe,1964,1.055
Northern Europe,1964,2.461
Northern Europe,1964,2.643
Northern Europe,1964,1.93
Northern Europe,1964,0.923
Northern Europe,1964,0.868
Northern Europe,1964,0.979
Northern Europe,1964,0.914
Northern Europe,1964,0.731
Northern Europe,1964,0.864
Northern Europe,1964,1.259
Northern Europe,1964,1.449
Northern Europe,1964,2.186
Southern Europe,1964,0.843
Southern Europe,1964,1.294
Southern Europe,1964,1.0
Southern Europe,1964,0.861
Southern Europe,1964,0.719
Southern Europe,1964,0.695
Southern Europe,1964,0.453
Southern Europe,1964,0.729
Southern Europe,1964,0.889
Southern Europe,1964,0.94
Southern Europe,1964,0.862
Southern Europe,1964,0.883
Western Europe,1964,2.053
Western Europe,1964,2.145
Western Europe,1964,1.577
Western Europe,1964,1.194
Western Europe,1964,0.873
Western Europe,1964,1.019
Western Europe,1964,1.099
Western Europe,1964,0.908
Western Europe,1964,1.174
Western Europe,1964,1.45
Western Europe,1964,1.098
Western Europe,1964,1.828
Australia and New Zealand,1964,0.654
Australia and New Zealand,1964,0.511
Australia and New Zealand,1964,0.514
Australia and New Zealand,1964,0.467
Australia and New Zealand,1964,0.691
Australia and New Zealand,1964,0.601
Australia and New Zealand,1964,0.76
Australia and New Zealand,1964,0.608
Australia and New Zealand,1964,0.752
Australia and New Zealand,1964,0.833
Australia and New Zealand,1964,0.631
Australia and New Zealand,1964,0.708
Antarctica,1965,1.24
Antarctica,1965,1.084
Antarctica,1965,1.156
Antarctica,1965,1.868
Antarctica,1965,1.704
Antarctica,1965,1.929
Antarctica,1965,1.801
Antarctica,1965,2.216
Antarctica,1965,2.058
Antarctica,1965,1.344
Antarctica,1965,1.124
Antarctica,1965,1.161
South Africa,1965,0.637
South Africa,1965,0.583
South Africa,1965,0.625
South Africa,1965,0.64
South Africa,1965,0.483
South Africa,1965,0.788
South Africa,1965,0.656
South Africa,1965,0.65
South Africa,1965,0.742
South Africa,1965,0.762
South Africa,1965,0.657
South Africa,1965,0.701
Africa,1965,0.488
Africa,1965,0.483
Africa,1965,0.484
Africa,1965,0.316
Africa,1965,0.341
Africa,1965,0.292
Africa,1965,0.313
Africa,1965,0.303
Africa,1965,0.304
Africa,1965,0.304
Africa,1965,0.314
Africa,1965,0.353
Eastern Africa,1965,0.345
Eastern Africa,1965,0.338
Eastern Africa,1965,0.363
